origen,lon_origen,lat_origen,destino,lon_destino,lat_destino,year,num_migrantes,genero
Southern Asia,78.0,23.0,NORTHERN AMERICA,-100.0,45.0,1990,581258,male
Western Asia,40.0,33.0,NORTHERN AMERICA,-100.0,45.0,1990,297687,male
Eastern Europe,30.0,50.0,NORTHERN AMERICA,-100.0,45.0,1990,722463,male
Northern Europe,15.0,60.0,NORTHERN AMERICA,-100.0,45.0,1990,861708,male
Southern Europe,15.0,41.0,NORTHERN AMERICA,-100.0,45.0,1990,833939,male
Western Europe,2.0,48.0,NORTHERN AMERICA,-100.0,45.0,1990,712774,male
Caribbean,-75.0,18.0,NORTHERN AMERICA,-100.0,45.0,1990,1553063,male
Central America,-86.0,15.0,NORTHERN AMERICA,-100.0,45.0,1990,2897400,male
South America,-60.0,-10.0,NORTHERN AMERICA,-100.0,45.0,1990,534983,male
NORTHERN AMERICA,-100.0,45.0,NORTHERN AMERICA,-100.0,45.0,1990,369913,male
OCEANIA,140.0,-25.0,NORTHERN AMERICA,-100.0,45.0,1990,58007,male
Eastern Africa,39.0,-6.5,OCEANIA,140.0,-25.0,1990,23489,male
Middle Africa,17.0,1.0,OCEANIA,140.0,-25.0,1990,457,male
Northern Africa,18.0,28.0,OCEANIA,140.0,-25.0,1990,25038,male
Southern Africa,24.0,-29.0,OCEANIA,140.0,-25.0,1990,31919,male
Western Africa,-2.0,16.0,OCEANIA,140.0,-25.0,1990,1555,male
Central Asia,63.0,48.0,OCEANIA,140.0,-25.0,1990,322,male
Eastern Asia,116.0,39.0,OCEANIA,140.0,-25.0,1990,119210,male
South-Eastern Asia,108.0,4.0,OCEANIA,140.0,-25.0,1990,247482,male
Southern Asia,78.0,23.0,OCEANIA,140.0,-25.0,1990,85793,male
Western Asia,40.0,33.0,OCEANIA,140.0,-25.0,1990,88289,male
Eastern Europe,30.0,50.0,OCEANIA,140.0,-25.0,1990,84891,male
Northern Europe,15.0,60.0,OCEANIA,140.0,-25.0,1990,733872,male
Southern Europe,15.0,41.0,OCEANIA,140.0,-25.0,1990,357880,male
Western Europe,2.0,48.0,OCEANIA,140.0,-25.0,1990,186428,male
Caribbean,-75.0,18.0,OCEANIA,140.0,-25.0,1990,1975,male
