origen,lon_origen,lat_origen,destino,lon_destino,lat_destino,year,num_migrantes
Southern Asia,78.0,23.0,Western Europe,2.0,48.0,1990,446038
Western Asia,40.0,33.0,Western Europe,2.0,48.0,1990,2394296
Eastern Europe,30.0,50.0,Western Europe,2.0,48.0,1990,1570589
Northern Europe,15.0,60.0,Western Europe,2.0,48.0,1990,441962
Southern Europe,15.0,41.0,Western Europe,2.0,48.0,1990,4871285
Western Europe,2.0,48.0,Western Europe,2.0,48.0,1990,1812908
Caribbean,-75.0,18.0,Western Europe,2.0,48.0,1990,55110
Central America,-86.0,15.0,Western Europe,2.0,48.0,1990,32671
South America,-60.0,-10.0,Western Europe,2.0,48.0,1990,349575
NORTHERN AMERICA,-100.0,45.0,Western Europe,2.0,48.0,1990,238666
OCEANIA,140.0,-25.0,Western Europe,2.0,48.0,1990,30643
Eastern Africa,39.0,-6.5,Caribbean,-75.0,18.0,1990,531
Middle Africa,17.0,1.0,Caribbean,-75.0,18.0,1990,230
Northern Africa,18.0,28.0,Caribbean,-75.0,18.0,1990,333
Southern Africa,24.0,-29.0,Caribbean,-75.0,18.0,1990,297
Western Africa,-2.0,16.0,Caribbean,-75.0,18.0,1990,552
Central Asia,63.0,48.0,Caribbean,-75.0,18.0,1990,3
Eastern Asia,116.0,39.0,Caribbean,-75.0,18.0,1990,8231
South-Eastern Asia,108.0,4.0,Caribbean,-75.0,18.0,1990,1252
Southern Asia,78.0,23.0,Caribbean,-75.0,18.0,1990,3072
Western Asia,40.0,33.0,Caribbean,-75.0,18.0,1990,2410
Eastern Europe,30.0,50.0,Caribbean,-75.0,18.0,1990,8470
Northern Europe,15.0,60.0,Caribbean,-75.0,18.0,1990,18646
Southern Europe,15.0,41.0,Caribbean,-75.0,18.0,1990,34670
Western Europe,2.0,48.0,Caribbean,-75.0,18.0,1990,82505
Caribbean,-75.0,18.0,Caribbean,-75.0,18.0,1990,437177
Central America,-86.0,15.0,Caribbean,-75.0,18.0,1990,16519
South America,-60.0,-10.0,Caribbean,-75.0,18.0,1990,65570
NORTHERN AMERICA,-100.0,45.0,Caribbean,-75.0,18.0,1990,281819
OCEANIA,140.0,-25.0,Caribbean,-75.0,18.0,1990,226
Eastern Africa,39.0,-6.5,Central America,-86.0,15.0,1990,148
Middle Africa,17.0,1.0,Central America,-86.0,15.0,1990,104
Northern Africa,18.0,28.0,Central America,-86.0,15.0,1990,654
Southern Africa,24.0,-29.0,Central America,-86.0,15.0,1990,147
Western Africa,-2.0,16.0,Central America,-86.0,15.0,1990,370
Central Asia,63.0,48.0,Central America,-86.0,15.0,1990,6
Eastern Asia,116.0,39.0,Central America,-86.0,15.0,1990,20158
South-Eastern Asia,108.0,4.0,Central America,-86.0,15.0,1990,930
Southern Asia,78.0,23.0,Central America,-86.0,15.0,1990,2335
Western Asia,40.0,33.0,Central America,-86.0,15.0,1990,5783
Eastern Europe,30.0,50.0,Central America,-86.0,15.0,1990,6653
Northern Europe,15.0,60.0,Central America,-86.0,15.0,1990,5345
Southern Europe,15.0,41.0,Central America,-86.0,15.0,1990,39320
Western Europe,2.0,48.0,Central America,-86.0,15.0,1990,18667
Caribbean,-75.0,18.0,Central America,-86.0,15.0,1990,20425
Central America,-86.0,15.0,Central America,-86.0,15.0,1990,1195652
South America,-60.0,-10.0,Central America,-86.0,15.0,1990,60959
NORTHERN AMERICA,-100.0,45.0,Central America,-86.0,15.0,1990,238417
OCEANIA,140.0,-25.0,Central America,-86.0,15.0,1990,456
Eastern Africa,39.0,-6.5,South America,-60.0,-10.0,1990,1607
Middle Africa,17.0,1.0,South America,-60.0,-10.0,1990,5207
Northern Africa,18.0,28.0,South America,-60.0,-10.0,1990,8133
Southern Africa,24.0,-29.0,South America,-60.0,-10.0,1990,481
Western Africa,-2.0,16.0,South America,-60.0,-10.0,1990,398
Central Asia,63.0,48.0,South America,-60.0,-10.0,1990,0
Eastern Asia,116.0,39.0,South America,-60.0,-10.0,1990,148929
South-Eastern Asia,108.0,4.0,South America,-60.0,-10.0,1990,2564
Southern Asia,78.0,23.0,South America,-60.0,-10.0,1990,2409
Western Asia,40.0,33.0,South America,-60.0,-10.0,1990,65185
Eastern Europe,30.0,50.0,South America,-60.0,-10.0,1990,102403
Northern Europe,15.0,60.0,South America,-60.0,-10.0,1990,20551
Southern Europe,15.0,41.0,South America,-60.0,-10.0,1990,1342721
Western Europe,2.0,48.0,South America,-60.0,-10.0,1990,137258
Caribbean,-75.0,18.0,South America,-60.0,-10.0,1990,66348
Central America,-86.0,15.0,South America,-60.0,-10.0,1990,41030
South America,-60.0,-10.0,South America,-60.0,-10.0,1990,2077128
NORTHERN AMERICA,-100.0,45.0,South America,-60.0,-10.0,1990,82526
OCEANIA,140.0,-25.0,South America,-60.0,-10.0,1990,1870
Eastern Africa,39.0,-6.5,NORTHERN AMERICA,-100.0,45.0,1990,199210
Middle Africa,17.0,1.0,NORTHERN AMERICA,-100.0,45.0,1990,12211
Northern Africa,18.0,28.0,NORTHERN AMERICA,-100.0,45.0,1990,150117
Southern Africa,24.0,-29.0,NORTHERN AMERICA,-100.0,45.0,1990,58891
Western Africa,-2.0,16.0,NORTHERN AMERICA,-100.0,45.0,1990,128199
Central Asia,63.0,48.0,NORTHERN AMERICA,-100.0,45.0,1990,30137
Eastern Asia,116.0,39.0,NORTHERN AMERICA,-100.0,45.0,1990,2233530
South-Eastern Asia,108.0,4.0,NORTHERN AMERICA,-100.0,45.0,1990,2267662
Southern Asia,78.0,23.0,NORTHERN AMERICA,-100.0,45.0,1990,1073869
Western Asia,40.0,33.0,NORTHERN AMERICA,-100.0,45.0,1990,576680
Eastern Europe,30.0,50.0,NORTHERN AMERICA,-100.0,45.0,1990,1508784
Northern Europe,15.0,60.0,NORTHERN AMERICA,-100.0,45.0,1990,1836172
Southern Europe,15.0,41.0,NORTHERN AMERICA,-100.0,45.0,1990,1794482
Western Europe,2.0,48.0,NORTHERN AMERICA,-100.0,45.0,1990,1505845
Caribbean,-75.0,18.0,NORTHERN AMERICA,-100.0,45.0,1990,3311502
Central America,-86.0,15.0,NORTHERN AMERICA,-100.0,45.0,1990,5492007
South America,-60.0,-10.0,NORTHERN AMERICA,-100.0,45.0,1990,1172660
NORTHERN AMERICA,-100.0,45.0,NORTHERN AMERICA,-100.0,45.0,1990,999977
OCEANIA,140.0,-25.0,NORTHERN AMERICA,-100.0,45.0,1990,135857
Eastern Africa,39.0,-6.5,OCEANIA,140.0,-25.0,1990,46234
Middle Africa,17.0,1.0,OCEANIA,140.0,-25.0,1990,808
Northern Africa,18.0,28.0,OCEANIA,140.0,-25.0,1990,47551
Southern Africa,24.0,-29.0,OCEANIA,140.0,-25.0,1990,64817
Western Africa,-2.0,16.0,OCEANIA,140.0,-25.0,1990,2548
Central Asia,63.0,48.0,OCEANIA,140.0,-25.0,1990,709
Eastern Asia,116.0,39.0,OCEANIA,140.0,-25.0,1990,236968
South-Eastern Asia,108.0,4.0,OCEANIA,140.0,-25.0,1990,515986
Southern Asia,78.0,23.0,OCEANIA,140.0,-25.0,1990,163408
Western Asia,40.0,33.0,OCEANIA,140.0,-25.0,1990,166821
Eastern Europe,30.0,50.0,OCEANIA,140.0,-25.0,1990,162267
Northern Europe,15.0,60.0,OCEANIA,140.0,-25.0,1990,1449540
Southern Europe,15.0,41.0,OCEANIA,140.0,-25.0,1990,678594
Western Europe,2.0,48.0,OCEANIA,140.0,-25.0,1990,354967
Caribbean,-75.0,18.0,OCEANIA,140.0,-25.0,1990,3921
Central America,-86.0,15.0,OCEANIA,140.0,-25.0,1990,11005
South America,-60.0,-10.0,OCEANIA,140.0,-25.0,1990,68175
NORTHERN AMERICA,-100.0,45.0,OCEANIA,140.0,-25.0,1990,132617
OCEANIA,140.0,-25.0,OCEANIA,140.0,-25.0,1990,579083
Eastern Africa,39.0,-6.5,Eastern Africa,39.0,-6.5,1995,3633661
Middle Africa,17.0,1.0,Eastern Africa,39.0,-6.5,1995,450933
Northern Africa,18.0,28.0,Eastern Africa,39.0,-6.5,1995,343372
Southern Africa,24.0,-29.0,Eastern Africa,39.0,-6.5,1995,47087
Western Africa,-2.0,16.0,Eastern Africa,39.0,-6.5,1995,7363
Central Asia,63.0,48.0,Eastern Africa,39.0,-6.5,1995,0
Eastern Asia,116.0,39.0,Eastern Africa,39.0,-6.5,1995,5338
South-Eastern Asia,108.0,4.0,Eastern Africa,39.0,-6.5,1995,613
Southern Asia,78.0,23.0,Eastern Africa,39.0,-6.5,1995,21658
Western Asia,40.0,33.0,Eastern Africa,39.0,-6.5,1995,325
Eastern Europe,30.0,50.0,Eastern Africa,39.0,-6.5,1995,361
Northern Europe,15.0,60.0,Eastern Africa,39.0,-6.5,1995,23971
Southern Europe,15.0,41.0,Eastern Africa,39.0,-6.5,1995,3314
Western Europe,2.0,48.0,Eastern Africa,39.0,-6.5,1995,63865
